borrower_id,capacity_top_positive,capacity_top_negative,capacity_driver_note,character_top_positive,character_top_negative,character_driver_note,capital_top_positive,capital_top_negative,capital_driver_note,compliance_top_positive,compliance_top_negative,compliance_driver_note,collateral_top_positive,collateral_top_negative,collateral_driver_note
MSME-00259,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00260,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00261,Supplier concentration,Projected revenue growth,,Other legal dispute status,Civil suit status,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00262,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,EPFO on-time remittance ratio,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00263,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00264,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00265,Current ratio,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00266,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00267,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Utility payment timeliness,,,,no data available for this dimension
MSME-00268,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00269,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00270,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00271,Current ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00272,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00273,Projected revenue growth,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00274,Supplier concentration,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00275,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Bureau score,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00276,Cash flow vs. declared turnover match,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00277,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00278,Current ratio,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00279,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00280,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00281,Projected revenue growth,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00282,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00283,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00284,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Civil suit status,,,,no data available for this dimension,Utility payment timeliness,Bank covenant compliance,,,,no data available for this dimension
MSME-00285,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00286,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00287,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00288,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00289,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00290,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00291,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00292,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00293,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00294,Projected revenue growth,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00295,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00296,Debt service coverage ratio,Revenue CAGR (3yr),,Bureau score,Cheque bounce rate,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00297,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00298,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Bank covenant compliance,,,,no data available for this dimension
MSME-00299,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00300,Debt service coverage ratio,Supplier concentration,,Civil suit status,Bureau score,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00301,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00302,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00303,Current ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00304,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00305,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00306,Supplier concentration,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00307,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00308,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00309,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00310,Cash flow vs. declared turnover match,Supplier concentration,,Bureau score,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00311,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00312,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00313,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00314,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Other legal dispute status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00315,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00316,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00317,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00318,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00319,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00320,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00321,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00322,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00323,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00324,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Salary payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00325,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00326,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00327,Debt service coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Civil suit status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00328,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00329,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00330,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00331,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,,no data available for this dimension,Salary payment timeliness,Bank covenant compliance,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00332,Leverage (debt / net worth),Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00333,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00334,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00335,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00336,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00337,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00338,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00339,Projected revenue growth,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00340,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00341,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00342,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00343,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00344,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00345,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00346,Current ratio,Customer concentration,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00347,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00348,Customer concentration,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00349,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00350,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00351,Current ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00352,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00353,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00354,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00355,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00356,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00357,Debt service coverage ratio,Supplier concentration,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00358,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00359,Cash flow vs. declared turnover match,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00360,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00361,Current ratio,Supplier concentration,,Bureau score,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00362,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00363,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00364,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00365,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00366,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00367,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00368,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00369,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00370,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00371,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00372,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00373,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00374,Interest coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00375,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00376,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00377,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00378,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00379,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00380,Debt service coverage ratio,Supplier concentration,,Civil suit status,Bureau score,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00381,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00382,Projected revenue growth,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00383,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00384,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00385,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00386,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00387,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
